del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet
6326,66367,@USER Ford's takeover of the Ontario Conservatives makes Trump's takeover of the GOP look geologically slow.,NOT,,,ford takeover ontario conservatives makes trump takeover gop look geologically slow
6327,80682,@USER @USER What does that have to do with anything at all? 😂🤣 the level of discourse from liberals is embarrassing,NOT,,,anything level discourse liberals embarrassing
6328,81594,@USER @USER Liberals aren't bright.,NOT,,,liberals bright
6329,26199,"@USER What is my fucking problem? Really?""  —Jason denys a couple of times. He does not want to behave like an idiot / not again / but he's worried about her.  ""Where is Dick or Bruce? Are not they with you in this?""""",OFF,UNT,,fucking problem really jason denys couple times want behave like idiot worried dick bruce
6330,45697,@USER Low life bitches,OFF,TIN,GRP,low life bitches
6331,80731,@USER Not saying much to claim you are smarter than @USER,NOT,,,saying much claim smarter
6332,15041,@USER here we go this is where the nats blow a lead now or the 8th inning have you not learned and strasburgh is not what everyone thinks he is inconsistent,NOT,,,nats blow lead 8th inning learned strasburgh everyone thinks inconsistent
6333,49020,#Tyranny #Totalitarianism #Leftism JUST WHEN YOU THINK #THELEFT CAN'T SINK ANY LOWER - #Liberals fear their major cultural victories of the past half-century are democratically... URL,NOT,,,think sink lower fear major cultural victories past half century democratically url
6334,23820,@USER Traditionalists and fuddy-duddy conservatives form a convenient horseshoe with feminists when it comes to a lot of women's issues.  Their reasons are grounded in chivalry and sex differences rather than equality but the result looks very similar.,NOT,,,traditionalists fuddy duddy conservatives form convenient horseshoe feminists comes lot women issues reasons grounded chivalry sex differences rather equality result looks similar
6335,37789,@USER @USER @USER @USER @USER @USER Brexit is the single most important political issue of the day. The Mayor of London with the biggest direct democratic mandate in the UK needs to have a view.,NOT,,,brexit single important political issue day mayor london biggest direct democratic mandate needs view
6336,53574,@USER He is perfect for the part! Im with it .,NOT,,,perfect part
6337,64414,@USER Throw Antifa in there too!,NOT,,,throw antifa
6338,93615,@USER yo he is gorgeous 😍😍,NOT,,,gorgeous
6339,67985,@USER I already knew that ! LMAO 😂 SO stay with us deplorable bigots!! We’re getting ready to fight for our COUNTRY! #WWG1WGA,OFF,TIN,OTH,already knew lmao stay deplorable bigots getting ready fight country
6340,31397,@USER @USER @USER then you are a fool too,OFF,TIN,IND,fool
6341,25990,@USER Liar!  Set up by far left.  Liberals are so predictable!  Americans are into these empty stupid tactics.  No one believes you!  It’s a politically induced maneuver to attempt to delay the installation of a judge until after midterms.  It won’t work.  No go write your book!,OFF,TIN,GRP,liar set far left liberals predictable americans empty stupid tactics one believes politically induced maneuver attempt delay installation judge midterms work write book
6342,52261,@USER Because they are crates by the liberals  to save ANY kind of influence...,NOT,,,crates liberals save kind influence
6343,20335,@USER can’t believe you are not competitive for the same services as @USER for life. Your service isn’t worth and extra $30 a month. #cancel,NOT,,,believe competitive services life service worth extra month
6344,62839,@USER Eric ur no Jeff sessions!!,NOT,,,eric jeff sessions
6345,34629,@USER Element of surprise has gone then Somehow i think this is more,NOT,,,element surprise gone somehow think
6346,84836,"@USER @USER @USER @USER @USER @USER Also not correct. But, the some of the safest US cities does not have strict gun control laws. (Side-note: You can not believe one word that *Michael Moore preaches in any of his documentaries."") This video is a bit of an eye-opener: URL",NOT,,,also correct safest cities strict gun control laws side note believe one word michael moore preaches documentaries video bit eye opener url
6347,55295,@USER @USER @USER @USER @USER @USER A popular vote would be terrible! We would become a Democracy!,NOT,,,popular vote would terrible would become democracy
6348,58444,@USER Well she supported $7 co payment for Dr visits when President of AMA thats an indication . She is Ambitious thats all .,NOT,,,well supported payment visits president ama thats indication ambitious thats
6349,52835,@USER Yoo our dogs should totally fuck,OFF,TIN,OTH,yoo dogs totally fuck
6350,49336,"@USER @USER @USER Freedom From National Debt"" is also very good and written by former Deputy Secretary of the Treasury Frank N. Newman. Also great cuz he is not an MMT academic but basically confirms MMT from a non-MMT insider's perspective""",NOT,,,freedom national debt also good written former deputy secretary treasury frank newman also great cuz mmt academic basically confirms mmt non mmt insider perspective
6351,26553,#lowemissions #bus #transport #Conservatives PM announces £106m funding for low-emission vehicles: URL,NOT,,,announces £ 106m funding low emission vehicles url
6352,73550,Sean Spicer and Donald Trump in happier times.  #MAGA #TheResistance #MondayMotivation URL,NOT,,,sean spicer donald trump happier times url
6353,17926,@USER Are you going to become an antifa fighter now,NOT,,,going become antifa fighter
6354,60977,@USER @USER I respected Ron Paul and Dennis Kucinich most in congress,NOT,,,respected ron paul dennis kucinich congress
6355,86895,@USER And then Americans are going to demand Christine Ford face Criminal charges &amp; face jail time when she is proven to have lied. Her guilt is in the fact she contacted Dems Not the FBI. Ford did not come forward as a witness in the hearing. She’s bought and paid for,NOT,,,americans going demand christine ford face criminal charges face jail time proven lied guilt fact contacted dems fbi ford come forward witness hearing bought paid
6356,91618,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't we all! 🙏,NOT,,,
6357,92805,And Soros money in their pocket. #maga🇺🇸🇺🇸🇺🇸🇺🇸 URL,NOT,,,soros money pocket url
6358,73156,@USER Garrett you are amazing and funny. Keep being you. I love when you talk about Harry Potter because Harry Potter is awesome,NOT,,,garrett amazing funny keep love talk harry potter harry potter awesome
6359,93018,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Right ... It's a conditioning of sorts resulting in denial... Irrelevant of the facts... THUS Welcomes Cognitive Dissonance in Disguise- ANTIFA 🤦🏻‍♀️,NOT,,,right conditioning sorts resulting denial irrelevant facts thus welcomes cognitive dissonance disguise antifa ‍ ♀ ️
6360,20906,@USER @USER @USER @USER @USER Education is devolved and is an utter shambles. The snp are in charge of it and neither the conservatives or brexit are a factor.,NOT,,,education devolved utter shambles snp charge neither conservatives brexit factor
6361,97581,@USER you suck so fucking hard that i genuinely want to drop out of school and quit doing art and spend every day of my life destroying another epson printer with a lead pipe. i hate you so much.,OFF,TIN,OTH,suck fucking hard genuinely want drop school quit art spend every day life destroying another epson printer lead pipe hate much
6362,11806,#TwitterShouldBe a less mean environment and less biased towards conservatives.,NOT,,,less mean environment less biased towards conservatives
6363,83659,@USER @USER That's just what Satan would say if he were threatened.,NOT,,,satan would say threatened
6364,53879,@USER the owner is a elderly lady who couldn’t leave the trailer cause it was underwater and she is in oxygen tanks,NOT,,,owner elderly lady leave trailer cause underwater oxygen tanks
6365,43241,@USER @USER And - on reflection -  I is a sycophantic twat   But that does not mean he is wrong,OFF,TIN,IND,reflection sycophantic twat mean wrong
6366,82428,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed &amp; Retweeted All These Awesome MAGA Patriots! We Must Get Fired Up &amp; get all our people out to vote in November or we will all be in for so much  lawlessness The Dems Are Planning on Bringing Impeachment Proceedings even though there are no impeachable Offenses committed,OFF,TIN,GRP,followed retweeted awesome maga patriots must get fired get people vote november much lawlessness dems planning bringing impeachment proceedings even though impeachable offenses committed
6367,19541,"@USER A much more traditional"" take on the Lois &amp; Clark dynamic is showing up in Tom King's Superman 100-Page Giants at Walmart. I would recommend it. She is not SUPER-heavily featured in the first issue but she is well-treated.""",NOT,,,much traditional take lois clark dynamic showing tom king superman 100 page giants walmart would recommend super heavily featured first issue well treated
6368,98627,@USER @USER @USER @USER @USER here is your boy smoking marijuana and hanging out with a pornstar and escort girl and paying the people that keep her a slave to be his slave. He is insane URL,OFF,TIN,IND,boy smoking marijuana hanging pornstar escort girl paying people keep slave slave insane url
6369,84642,@USER Don’t you have concerns about Keith Ellison?   Well do you.,NOT,,,concerns keith ellison well
6370,27536,@USER They crossed the line a long time ago. Antifa is a branch of the Socialist party.,NOT,,,crossed line long time ago antifa branch socialist party
6371,65421,@USER @USER Their gullibility.   They think if a politician has an R by their name he is a good guy and don't research that person at all.,NOT,,,gullibility think politician name good guy research person
6372,43865,@USER @USER @USER @USER @USER @USER @USER @USER @USER You mean like all the Liberals screaming at a SC nomination hearing? That kind of clown show? So tell me since when do accusers get to make demands? This isn't a university misandry board of injustice.,OFF,TIN,IND,mean like liberals screaming nomination hearing kind clown show tell since accusers get make demands university misandry board injustice
6373,83192,@USER @USER How about starting with gun control.,NOT,,,starting gun control
6374,50631,@USER now that Bea Arthur had a lovely mud bath and coconut oil rub she is settled in for her bedtime story and loves loves loves your book so much i had to read it three times to her before she would go to bed. We hope you are doing well and feeling better! URL,NOT,,,bea arthur lovely mud bath coconut oil rub settled bedtime story loves loves loves book much read three times would bed hope well feeling better url
6375,57627,@USER Yes he is and it's giving a Good View,NOT,,,yes giving good view
6376,60473,@USER Boy is that professor stupid or else has a mental illness. He obviously should not be teaching anyone!,OFF,TIN,IND,boy professor stupid else mental illness obviously teaching anyone
6377,44467,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Be best. Be #MAGA  ✅Following amazing patriots.,NOT,,,best ✅ following amazing patriots
6378,76795,@USER The interview is an important part of the hiring process. And selling yourself may not come naturally. Let's make sure you're fully prepared: URL ^TN,NOT,,,interview important part hiring process selling may come naturally let make sure fully prepared url
6379,91741,@USER I want to fight one of you for real you are taking the piss URL,OFF,TIN,IND,want fight one real taking piss url
6380,79545,@USER She is disgusting,OFF,TIN,IND,disgusting
6381,70794,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 🙋Hello to all fellow patriots.,NOT,,,hello fellow patriots
6382,53203,@USER YOU ARE SO TALENTED I ADORE YOU,NOT,,,talented adore
6383,83005,@USER @USER If the LEFT  would just stop the politics of distraction he will keep more promises #MAGA,NOT,,,left would stop politics distraction keep promises
6384,49118,@USER He is too bitchy...  And you?! I ask a question and you dont respond    Why would this be 1 way street?,OFF,TIN,IND,bitchy ask question dont respond would way street
6385,52985,@USER Could it be that President Trump is normal and most of Washington D C are insane and totally out of touch with the forgotten middle class working people of America? Drain the swamp &amp; MAGA.,NOT,,,could president trump normal washington insane totally touch forgotten middle class working people america drain swamp maga
6386,39327,@USER she’s my bitch,OFF,TIN,IND,bitch
6387,45852,6 people are dead after shooting spree in California ....AND LORD FORBID WE SHOULD TALK ABOUT COMMON SENSE GUN CONTROL MEASURES...OH NO!!! 😱😱😱😱,NOT,,,people dead shooting spree california lord forbid talk common sense gun control measures
6388,98340,@USER @USER @USER Who's paying for your tweet? Antifa?,NOT,,,paying tweet antifa
6389,82598,@USER Bono is utterly stupid ridiculous wealthy tax avoiding hypocrite fascist  I can’t listen to U2 again,OFF,TIN,GRP,bono utterly stupid ridiculous wealthy tax avoiding hypocrite fascist listen
6390,59178,@USER If she is refusing to come forward how will this allegation from years ago be nvestigated??  Nothing but obstruction and lies.   #ConfirmKavanaugh,NOT,,,refusing come forward allegation years ago nvestigated nothing obstruction lies
6391,84823,@USER lmao i really didn’t know him before that at all 😂,NOT,,,lmao really know
6392,28723,@USER @USER Cause gun control worked so well for chicago?,NOT,,,cause gun control worked well chicago
6393,36356,@USER @USER DOXX her.  See if she is as Lilly white as she puts on.,NOT,,,doxx see lilly white puts
6394,50500,@USER The war on conservatives =ANTIFA,OFF,TIN,GRP,war conservatives antifa
6395,38758,@USER He's like Meuller Hunted by A Master Sportsman / and the most powerful man in the world / Barry armed Trump Unwittingly with Lethal Force / Barry Never thought Killary would lose / URL,NOT,,,like meuller hunted master sportsman powerful man world barry armed trump unwittingly lethal force barry never thought killary would lose url
6396,66220,@USER @USER Cuz I've never been insulted by Conservatives... ahahaha,NOT,,,cuz never insulted conservatives ahahaha
6397,18456,@USER @USER @USER Maybe Antifa asshats? Those who physically assault others for their political beliefs? Democrats are NO Saints and neither are you!,OFF,TIN,GRP,maybe antifa asshats physically assault others political beliefs democrats saints neither
6398,25486,@USER Worst place I've experienced that is the fucking movies,OFF,TIN,OTH,worst place experienced fucking movies
6399,52969,@USER @USER @USER @USER Ugh...you are one of those,NOT,,,ugh one
6400,36448,@USER Oh no! Hope you are okay.,NOT,,,hope okay
6401,12020,@USER hope you are enjoying strictly training !! URL,NOT,,,hope enjoying strictly training url
6402,64716,@USER Because she knew how to add up the millions in @USER donations received for access?,NOT,,,knew add millions donations received access
6403,81765,@USER OMG another bigot showing he is basically gutless - sounds much like Donald 😂,OFF,TIN,IND,omg another bigot showing basically gutless sounds much like donald
6404,75411,@USER Liberals want to control ppl from cradle to coffin. They'd b happy if ppl avoided all physical/social contact w each other..... they are making us so suspicious of each other. DIVIDE AND CONQUER is their hidden agenda.,OFF,TIN,GRP,liberals want control ppl cradle coffin happy ppl avoided physical social contact making suspicious divide conquer hidden agenda
6405,29819,@USER @USER I can not see him posting such a video if he was done with Supes. He is wearing a krypton t-shirt too,NOT,,,see posting video done supes wearing krypton shirt
6406,23483,@USER Yea he is he said he would if Tua was healthy,NOT,,,yea said would tua healthy
6407,68464,@USER Early Antifa group. Heavily armed but look happy. URL,NOT,,,early antifa group heavily armed look happy url
6408,99943,"@USER @USER Repeatedly re announcing previous measures and funding that don't come in effect until a future date and only serve to help housebuilders make more profit isn't going to solve the housing crisis"" created by Labour and made worse by @USER",NOT,,,repeatedly announcing previous measures funding come effect future date serve help housebuilders make profit going solve housing crisis created labour made worse
6409,45932,@USER Blame Trump???  U bunch of idiots. Blame the corruption over in PR,OFF,TIN,IND,blame trump bunch idiots blame corruption
6410,56012,@USER Of course he is offended he is ill due to liberalism!,OFF,TIN,IND,course offended ill due liberalism
6411,29999,@USER @USER You are out of your fucking mind .. NO socialism is good - NO such thing as “Democratic Socialism” You fool,OFF,TIN,IND,fucking mind socialism good thing democratic socialism fool
6412,27506,@USER @USER @USER @USER @USER @USER Aalayah...I cannot express  enough how proud I am of you and your classmates. I truly believe your hard work will be the turning point in gun control!!It is definitely time for the old white boys club to step aside and listen to the young people who have suffered because of them.,NOT,,,aalayah cannot express enough proud classmates truly believe hard work turning point gun control definitely time old white boys club step aside listen young people suffered
6413,54490,@USER @USER @USER @USER I never said no one died in Sa Juan..I said she is only in charge of one town out of 78...don’t get me wrong many people to blame...in the case of Ricardo Rosello he is terrified of Trump and wants to please him at all cause.  Im sure Roselló and trump knew the count was higher,NOT,,,never said one died juan said charge one town get wrong many people blame case ricardo rosello terrified trump wants please cause sure roselló trump knew count higher
6414,96626,@USER @USER @USER @USER @USER One of them just called me 'politically and morally bankrupt' because I said I WOULD get behind him if he opposed Brexit 😐😂,NOT,,,one called politically morally bankrupt said would get behind opposed brexit
6415,59232,@USER By defending and making excuses for obvious bad behavior....you're sure to get more of it.,NOT,,,defending making excuses obvious bad behavior sure get
6416,88856,@USER An insult to holocaust survivors and their families. An embarrassment to film making.,NOT,,,insult holocaust survivors families embarrassment film making
6417,34873,IN HONOR OF #ConstitutionDay  I PURCHASED A #TRUMP t-SHIRT AND A #MAGA HAT  #TRUMPTRAIN #LIBERTY #FREEDOM #AMERICA #USA #LIBERTY URL,NOT,,,honor purchased shirt hat url
6418,47096,@USER And Obama didn’t.... not to you because you agreed with him.....,NOT,,,obama agreed
6419,21854,@USER Eli is what he is at this point average at best,NOT,,,eli point average best
6420,11875,@USER Flake I lost 17 guys lost let the guy do his job and think of the people instead of your non existent career,NOT,,,flake lost guys lost let guy job think people instead non existent career
6421,47023,@USER What do you like to do when you are with your family? #AskAlly,NOT,,,like family
6422,19135,@USER @USER Because he knows he is going to Jail soon,NOT,,,knows going jail soon
6423,59575,@USER @USER @USER @USER Oh wait now I get it. You two are ANTIFA!,NOT,,,wait get two antifa
6424,27111,@USER EVERYONE? Wow. That must have been an *exhaustive* research project. URL,NOT,,,everyone wow must exhaustive research project url
6425,80983,@USER You are not,NOT,,,
6426,32192,@USER See his profile? Thinks he is hardcore ....boi 🤔,OFF,TIN,IND,see profile thinks hardcore boi
6427,27675,"@USER @USER @USER She's  no poor thing"". She's an antifa protester with many ties to the DNC.   She's a Trump hater. Donated to HRC.  She didn't just ""appear"" out of the blue.  Cracks me up how naive people are.  Toughen up America! These are lying leftists intent on destroying our democracy!""",NOT,,,poor thing antifa protester many ties dnc trump hater donated hrc appear blue cracks naive people toughen america lying leftists intent destroying democracy
6428,12221,"@USER @USER @USER @USER @USER Antifa means anti-fascist"". I'm not sure there is an Antifa organization, but there are millions who are anti-fascist.  Why are you not one of them?""",OFF,TIN,IND,antifa means anti fascist sure antifa organization millions anti fascist one
6429,26146,@USER @USER @USER @USER @USER Um it’s right in front of your face. These big-tech giants are censoring conservatives every single day. Dems constantly calling for “sensible gun control” and sometimes outright the repeal of the 2nd amendment. Conservative ideas are shut down on college campuses...,NOT,,,right front face big tech giants censoring conservatives every single day dems constantly calling sensible gun control sometimes outright repeal 2nd amendment conservative ideas shut college campuses
6430,10114,@USER Bono is a Nono in my house.,NOT,,,bono nono house
6431,84688,@USER So much respect for that man wherever he is.🔴⚪️,NOT,,,much respect man wherever ⚪ ️
6432,80067,@USER @USER GFY since you are into code letters 😂and how about POS 😜🖕🏻✍️KMA,NOT,,,gfy since code letters pos ✍ ️ kma
6433,29792,@USER I checked... #followed 🤷🏻‍♀️😂,NOT,,,checked ‍ ♀ ️
6434,16903,4.) Most Disliked Oc- Amai  vs Most Liked Oc- Kira Amai is pretty much a freaking bad daughter. She killed her mum and little brother just to run off with some man.  Kira is a pretty sweet gal who loves her father very much and just loves to be loved! She is also a determined gal,OFF,TIN,IND,disliked amai liked kira amai pretty much freaking bad daughter killed mum little brother run man kira pretty sweet gal loves father much loves loved also determined gal
6435,40904,"@USER You're either a bot or... for some reason you're associated Gavin McInnes with the alt-right""?   Time to find some better news sources, bro? The ""alt-right"" hasn't been relevant since CVille. Your journalists covering #antifa or just focusing on a few harmless conservatives?""",OFF,TIN,IND,either bot reason associated gavin mcinnes alt right time find better news sources bro alt right relevant since cville journalists covering focusing harmless conservatives
6436,86966,@USER @USER @USER @USER The choice is simple. If you vote Gillum you are voting for Socialism. If you vote for Ron DeSantis you are voting for everything that makes Florida great. #VoteRonDeSantis2018 URL,NOT,,,choice simple vote gillum voting socialism vote ron desantis voting everything makes florida great url
6437,60552,@USER @USER @USER @USER You are asking the right questions😂,NOT,,,asking right questions
6438,24561,@USER Can’t we send this pig back to Canada. He’s an animal.,OFF,TIN,IND,send pig back canada animal
6439,76635,@USER FAKE NEWS,NOT,,,fake news
6440,45073,@USER @USER I’m sorry that’s how the rap game goes. If I’m working with a producer that’s working with my enemy why wouldn’t I be like either them or me. Find your own ppl. This is rap and she is well within her right to.,NOT,,,sorry rap game goes working producer working enemy like either find ppl rap well within right
6441,73623,@USER you never were a slave. Spartacus was a slave and a heroic figure. You are neither.,OFF,TIN,IND,never slave spartacus slave heroic figure neither
6442,50780,@USER We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,OFF,TIN,IND,leveon bell thats dumbest argument compare college played best season 1700 yds tds collins conners first year starting starting much better collins
6443,18821,@USER @USER Those fucking calves man 🤤,OFF,TIN,GRP,fucking calves man
6444,86160,@USER @USER Now they’ll have to pay more for their MAGA hats.,NOT,,,pay maga hats
6445,29354,@USER Religious persecution is bad...  ...when it's your religion being persecuted. URL,OFF,TIN,OTH,religious persecution bad religion persecuted url
6446,90878,@USER Honestly  The fact he hasn't any legislative power coupled with the fact he is a skilled diplomat sways the balance for me.  Besides the varadkar government pushes that kinda shit anyway president or not.,OFF,TIN,IND,honestly fact legislative power coupled fact skilled diplomat sways balance besides varadkar government pushes kinda shit anyway president
6447,21790,@USER @USER He was fucking murdered and all you can talk about is marijuana?,OFF,TIN,GRP,fucking murdered talk marijuana
6448,49700,@USER @USER Oh they’re real..THIS IS WHAT ANTIFA LOOKS LIKE ON TWITTER 😂😂,NOT,,,real antifa looks like twitter
6449,26012,@USER @USER leader of Antifa,NOT,,,leader antifa
6450,58617,@USER he is 🤷🏽‍♀️,NOT,,,‍ ♀ ️
6451,95386,@USER Yay! You are unblocked 😂 I see how you gently responded.,NOT,,,yay unblocked see gently responded
6452,57137,@USER a few comics i never met i REALLY want to meet now and he is one of them ha,NOT,,,comics never met really want meet one
6453,69911,@USER @USER Dammit!! I fell asleep. Can someone tell me what they were chanting about?,NOT,,,dammit fell asleep someone tell chanting
6454,97915,@USER Consider the source. It's only Bono.,NOT,,,consider source bono
6455,64148,@USER @USER Once again @USER does zero research. But she is on the TV!!,NOT,,,zero research
6456,35638,@USER Her face looks like they throw quarters,NOT,,,face looks like throw quarters
6457,36888,@USER @USER Good come back. lol!                   #MAGA,NOT,,,good come back lol
6458,73262,@USER @USER Thank you!,NOT,,,thank
6459,45346,@USER @USER Trudeau and the metoo movement hahaha. He is on the wrong side there. Funny how questions never went anywhere with Trudeau.,OFF,TIN,IND,trudeau metoo movement hahaha wrong side funny questions never went anywhere trudeau
6460,93234,Regrann from trump_babes_2020 - 🇺🇸🇺🇸Amazing MAGA Babe🇺🇸🇺🇸 #trump #trump2020 #maga #maga2020 #trumpbabes #trumpbabes2020 #trump_babes_2020 #milfsfortrump  #babesfortrump #babesfortrump2020… URL,NOT,,,regrann trump babes 2020 amazing maga babe url
6461,65741,@USER @USER There's zero evidence of any gaff and it's not their jobs to do any such thing; this is just more hijinx and chicanery from two buffoons that have no platforms or morals. #CONservatives #cdnpoli,OFF,TIN,GRP,zero evidence gaff jobs thing hijinx chicanery two buffoons platforms morals
6462,95881,@USER Thank you ! Yes he is so sick 😭,OFF,TIN,IND,thank yes sick
6463,98703,@USER Totally agree! #Trump2020. Now @USER if we conservative hunters and gun owners could just teach u urban guys hat Federal Public lands are paid and protected by conservatives! #keepitpublic,NOT,,,totally agree conservative hunters gun owners could teach urban guys hat federal public lands paid protected conservatives
6464,31903,@USER *he closes his eyes so she won’t notice how groggy he is.*,OFF,UNT,,closes eyes notice groggy
6465,47667,.@USER is staffed with unhinged Liberals &amp; @USER  This is a disgusting statement. URL,OFF,TIN,GRP,staffed unhinged liberals disgusting statement url
6466,88300,@USER @USER @USER @USER By any chance did you sexually assault girls in high school? That would explain why you are so eager to overlook the possibility such a horrid crime &amp; insist on a double-standard which benefits you &amp; the alt-right &amp; back up your justifications wi obvious lies.  I bet I'm right...,OFF,TIN,GRP,chance sexually assault girls high school would explain eager overlook possibility horrid crime insist double standard benefits alt right back justifications obvious lies bet right
6467,64198,@USER @USER We need gun control😆 Liberals should not have access to guns. They are not mentally stable. This must stop😆,NOT,,,need gun control liberals access guns mentally stable must stop
6468,63100,@USER He’s the fart in the wind of history. URL,NOT,,,fart wind history url
6469,99400,@USER Hope he is enjoying himself while he can🤣,OFF,TIN,IND,hope enjoying
6470,84960,@USER @USER Compare the coffers of Greg “photo op guy” Walden and Jamie McCleod Skinner and you’ll see that his treasure chest is in the millions from NRA and telecom industry. Anti-fair and open internet.Anti REASONABLE gun control measures. For exploiting public lands.,NOT,,,compare coffers greg photo guy walden jamie mccleod skinner see treasure chest millions nra telecom industry anti fair open internet anti reasonable gun control measures exploiting public lands
6471,24584,@USER Bitchhh 😭😭😭😭 she was suppose to order some oatmeal,NOT,,,bitchhh suppose order oatmeal
6472,99712,@USER Yeah my exact thoughts here. Real uphill climb tho to get people to stop saying dumb shit on the internet.,OFF,TIN,GRP,yeah exact thoughts real uphill climb tho get people stop saying dumb shit internet
6473,92670,@USER @USER He is seething!! You can see it in his eyes and hear it in his voice!! Obama was a failed president in every sense of the word! #MAGA #KAG 🚂🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,OFF,TIN,IND,seething see eyes hear voice obama failed president every sense word
6474,67684,@USER So what about your antifa children harassing and threatening members of congress at their homes? Or is that different?,NOT,,,antifa children harassing threatening members congress homes different
6475,12548,@USER @USER She’s so far up in the clouds she’s long since forgotten what common sense is let alone how the American people feel she’s just another Michael Bloomberg trying to push her views on everyone else and the state she represents,NOT,,,far clouds long since forgotten common sense let alone american people feel another michael bloomberg trying push views everyone else state represents
6476,69743,@USER @USER The President despite all of Woodward book of lies and you and Barrack has done so far a tremendous job we are respected again our economy is not longer the animic less than 2% and our enemies fear us again John you and Barrack r History,NOT,,,president despite woodward book lies barrack done far tremendous job respected economy longer animic less enemies fear john barrack history
6477,93394,@USER @USER @USER Honestly i think she should concentrate more on her acting career rather than twitter....she is fantastic actress...but all these twitter comments and political comments will only divert her focus...kuch toh log kahenge..unko kaam hai kehna,NOT,,,honestly think concentrate acting career rather twitter fantastic actress twitter comments political comments divert focus kuch toh log kahenge unko kaam hai kehna
6478,31537,@USER He’s lying,NOT,,,lying
6479,94910,@USER Antifa thugs remind me of orcs if they are stupid enough to try and take someones firearm i wouldn't be surprised if its an orc who is thrown in a dumpster,OFF,TIN,GRP,antifa thugs remind orcs stupid enough try take someones firearm surprised orc thrown dumpster
6480,96947,@USER @USER The FASCISTS are Anti-American Communist Scum like yourself!! Now go Fuck Yourself you piece of human garbage!! USA #MAGA  ANTIFA are Terrorists,OFF,TIN,GRP,fascists anti american communist scum like fuck piece human garbage usa antifa terrorists
6481,11188,@USER She will be remembered as the witch that used her genitalia to make a false claim against a good man b/c  she is a die-hard democrat that hates republicans so much.  She is willing to ruin a good mans name all in the name of power.  Democrats are crying wolf way too many.,OFF,TIN,IND,remembered witch used genitalia make false claim good man die hard democrat hates republicans much willing ruin good mans name name power democrats crying wolf way many
6482,88017,@USER Brennan is a disgrace-without a clearance 😃,OFF,TIN,IND,brennan disgrace without clearance
6483,41487,@USER @USER Is that the only attorney general in our history to be held in contempt????,OFF,TIN,IND,attorney general history held contempt
6484,95092,ANTIFA is a domestic terrorist organization that leeches off of George Soros's money. They are a domestic terrorist organization that uses intimidation &amp; violence to spread their ideology.,OFF,TIN,OTH,antifa domestic terrorist organization leeches george soros money domestic terrorist organization uses intimidation violence spread ideology
6485,70820,@USER which is why im loving all this shit right now LOL,NOT,,,loving shit right lol
6486,65831,@USER no one attacked Kavanope!! We are allowed to question  liars.  He is secretive and He lied under oath. What more do you need?,OFF,TIN,GRP,one attacked kavanope allowed question liars secretive lied oath need
6487,62887,@USER No it’s not.,NOT,,,
6488,70322,@USER @USER Rubio sat through a 2-hour town hall in February answering questions from the public about gun control from people whose friends and children had just been murdered. That takes more courage than grandstanding and lying in a stupid hearing.,OFF,TIN,GRP,rubio sat hour town hall february answering questions public gun control people whose friends children murdered takes courage grandstanding lying stupid hearing
6489,83083,@USER @USER @USER We all know it’s not even close to bribery. She’s using that term to defend her disgusting and disgraceful decision to vote with her party over the American people. I have to wonder how much she is getting paid for the yes vote.,OFF,TIN,IND,know even close bribery using term defend disgusting disgraceful decision vote party american people wonder much getting paid yes vote
6490,47969,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Because of Antifa. 🤷‍♀️,NOT,,,antifa ‍ ♀ ️
6491,21728,@USER @USER Another Democrat scam.  Republicans don't fund terrorist groups like ANTIFA to threaten people.  ...but go ahead make it look real,OFF,TIN,GRP,another democrat scam republicans fund terrorist groups like antifa threaten people ahead make look real
6492,70846,@USER @USER @USER @USER That's different because it's a panel show. I'm talking about Paul Golding actually being a news anchor. We'd end up with a British Tucker Carlson.,NOT,,,different panel show talking paul golding actually news anchor end british tucker carlson
6493,89125,@USER Your mind is still not accepting that the federal government belongs to PTI of which you are member of NA.,NOT,,,mind still accepting federal government belongs pti member
6494,33705,@USER He is so beautiful there.,NOT,,,beautiful
